Sağlık Tesisi Adı,Ana Kategori,Alt Kategori,İlçe Adı,Mahalle Adı,ADRES,Latitude,Longitude
Bayrampaşa 1 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,YENİDOĞAN,Özgür Sk. No:34 A YENİDOĞAN/BAYRAMPAŞA,41.036009,28.914908
Özel Enka Diş,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:42 A YENİDOĞAN/BAYRAMPAŞA,41.037765,28.912364
Lens Medikal,Sağlık,Medikal,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:47 A YENİDOĞAN/BAYRAMPAŞA,41.03687,28.912055
Forma Medikal Market,Sağlık,Medikal,BAYRAMPAŞA,ALTINTEPSİ,Akpınar Cad. No:59 A ALTINTEPSİ/BAYRAMPAŞA,41.036871,28.897812
Terazidere Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,TERAZİDERE,Egemen Sk. No:28 TERAZİDERE/BAYRAMPAŞA,41.033992,28.90273
Ef-Su Veteriner,Sağlık,Veteriner,BAYRAMPAŞA,MURATPAŞA,Kamil Cad. No:45 -47A MURATPAŞA/BAYRAMPAŞA,41.046979,28.906126
Diş Hekimi Filiz Balaban,Sağlık,Diş Hekimi,BAYRAMPAŞA,ORTA,Demirkapı Cad. No:93 ORTA/BAYRAMPAŞA,41.038474,28.907825
Diş Hekimi Zehra Kıvılcım,Sağlık,Diş Hekimi,BAYRAMPAŞA,İSMET PAŞA,Oğuz Sk. No:81 İSMET PAŞA/BAYRAMPAŞA,41.045018,28.906204
İlker Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:87 C YENİDOĞAN/BAYRAMPAŞA,41.039056,28.912228
Diş Hekimi Banu Aksoy,Sağlık,Diş Hekimi,BAYRAMPAŞA,YENİDOĞAN,Demirkapı Cad. No:68 YENİDOĞAN/BAYRAMPAŞA,41.038287,28.908093
Diyetisyen Rabia Üçeler,Sağlık,Diyetisyen,BAYRAMPAŞA,YENİDOĞAN,Numunebağı Cad. No:82 YENİDOĞAN/BAYRAMPAŞA,41.035695,28.912756
Dr. Fedai Barcan,Sağlık,Doktor/Muayenehane,BAYRAMPAŞA,ORTA,Abdi İpekçi Cad. No:19 ORTA/BAYRAMPAŞA,41.034288,28.911855
Gülümse Psikolojik Danışmanlık Merkezi,Sağlık,Psikologlar,BAYRAMPAŞA,MURATPAŞA,Ada Sk. No:11 MURATPAŞA/BAYRAMPAŞA,41.045553,28.908835
Özel Göz Nurunu Koruma Vakfı Bayrampaşa Göz Hastanesi,Sağlık,Göz Merkezi Özel,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:89 YENİDOĞAN/BAYRAMPAŞA,41.039379,28.912239
Özel Bayrampaşa İlkdent Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,TERAZİDERE,Esenler Cad. No:105 A TERAZİDERE/BAYRAMPAŞA,41.033893,28.90154
Özel Avrupa Akademi Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,TERAZİDERE,Esenler Cad. No:148 A TERAZİDERE/BAYRAMPAŞA,41.033379,28.899326
Bayrampaşa Altıntepsi Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,ALTINTEPSİ,Filiz Sk. No:170 ALTINTEPSİ/BAYRAMPAŞA,41.035665,28.900175
Bayrampaşa İsmetpaşa Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,İSMET PAŞA,Eti Sk. No:4 A İSMET PAŞA/BAYRAMPAŞA,41.041416,28.906446
Uzman Veteriner,Sağlık,Veteriner,KADIKÖY,19-May,İnönü Cad. No:66 A 19 MAYIS/KADIKÖY,40.978664,29.091118
Stil Gözlük,Sağlık,Gözlükçü/Optik,FATİH,HOBYAR,Hamidiye Cad. No:8 HOBYAR/FATİH,41.015161,28.975161
Diş Hekimi İsmail Alioğlu,Sağlık,Diş Hekimi,BAYRAMPAŞA,MURATPAŞA,Tuna Cad. No:66 MURATPAŞA/BAYRAMPAŞA,41.045594,28.905223
Özel Bayrampaşa Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,BAYRAMPAŞA,ORTA,Lale Sk. No:36 C ORTA/BAYRAMPAŞA,41.035711,28.910227
Eyüp Nişanca Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,EYÜPSULTAN,NİŞANCI,Nişancı Mustafapaşa Cad. No:2 NİŞANCI/EYÜPSULTAN,41.040382,28.930538
Bayrampaşa 10 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,ALTINTEPSİ,Yahya Kemal Cad. No:67 C ALTINTEPSİ/BAYRAMPAŞA,41.041482,28.900676
Bayrampaşa 3 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,ALTINTEPSİ,Akpınar Cad. No:95 D ALTINTEPSİ/BAYRAMPAŞA,41.040576,28.898353
Bayrampaşa 9 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BAYRAMPAŞA,MURATPAŞA,Tuna Cad. No:86 -88A MURATPAŞA/BAYRAMPAŞA,41.045964,28.903637
Paşa Psikoteknik Değerlendirme Merkezi,Sağlık,Psikoteknik Değerlendirme Merkezi,BAYRAMPAŞA,YENİDOĞAN,Abdi İpekçi Cad. No:50 /1A YENİDOĞAN/BAYRAMPAŞA,41.038309,28.912487
Cihan Optik,Sağlık,Gözlükçü/Optik,BAYRAMPAŞA,YENİDOĞAN,Demirkapı Cad. No:32 B YENİDOĞAN/BAYRAMPAŞA,41.036701,28.909717
Diş Hekimi Fehime Dedeoğlu - Mehmet Dedeoğlu,Sağlık,Diş Hekimi,BAYRAMPAŞA,MURATPAŞA,İlhan Sk. No:1 MURATPAŞA/BAYRAMPAŞA,41.0452,28.907321
Diş Hekimi Tugay Hüseyin,Sağlık,Diş Hekimi,BAYRAMPAŞA,YENİDOĞAN,Özgür Sk. No:2 YENİDOĞAN/BAYRAMPAŞA,41.035348,28.912962
Operatör Dr. Ebru Coşkun Kadın Hastalıkları ve Doğum Uzmanı,Sağlık,Doktor/Muayenehane,GAZİOSMANPAŞA,YENİ MAHALLE,Hacı Salih Efendi Cad. No:3 -7A YENİ MAHALLE/GAZİOSMANPAŞA,41.073783,28.902351
Dr. İsmet Buşat,Sağlık,Doktor/Muayenehane,BAYRAMPAŞA,YENİDOĞAN,Şafak Sk. No:48 -50 YENİDOĞAN/BAYRAMPAŞA,41.037908,28.911759
Diş Hekimi Nevin Özey,Sağlık,Diş Hekimi,BAYRAMPAŞA,ORTA,Abdi İpekçi Cad. No:19 ORTA/BAYRAMPAŞA,41.034289,28.911863
Beşyıldız Psikoteknik,Sağlık,Psikoteknik Değerlendirme Merkezi,PENDİK,BAHÇELİEVLER,Adnan Menderes Bulvarı No:21 /1 BAHÇELİEVLER/PENDİK,40.883695,29.23488
