Sağlık Tesisi Adı,Ana Kategori,Alt Kategori,İlçe Adı,Mahalle Adı,ADRES,Latitude,Longitude
Deva Medikal,Sağlık,Medikal,FATİH,ŞEHREMİNİ,Turgut Özal Millet Cad. No:131 /1A ŞEHREMİNİ/FATİH,41.015066,28.933015
Diyetisyen Dilek Yüksel,Sağlık,Diyetisyen,FATİH,ŞEHREMİNİ,Büyük Saray Meydanı Cad. No:2 ŞEHREMİNİ/FATİH,41.016369,28.930319
Can Optik,Sağlık,Gözlükçü/Optik,ÇATALCA,KALEİÇİ,Tevfik Erdönmez Cad. No:4 E KALEİÇİ/ÇATALCA,41.143264,28.459226
Diriliş Ecza Deposu,Sağlık,Ecza Deposu,SANCAKTEPE,YENİDOĞAN,Atatürk Cad. No:253 A YENİDOĞAN/SANCAKTEPE,41.009211,29.230683
Özel Vita Life,Sağlık,Tıp Merkezi Özel,PENDİK,YENİ,Zafer Cad. No:18 A YENİ/PENDİK,40.885233,29.228897
Dt. Şebnem Şensivas,Sağlık,Diş Hekimi,KADIKÖY,ERENKÖY,Ömerpaşa Sk. No:68 A ERENKÖY/KADIKÖY,40.97524,29.071123
Animal Veteriner,Sağlık,Veteriner,BAKIRKÖY,ZUHURATBABA,Yeni İncirli Yolu Sk. No:14 A ZUHURATBABA/BAKIRKÖY,40.984703,28.869605
Hira Diş,Sağlık,Diş Laboratuvarı,FATİH,MOLLA GÜRANİ,Akkoyunlu Sk. No:14 A MOLLA GÜRANİ/FATİH,41.013298,28.938863
Atasun Optik,Sağlık,Gözlükçü/Optik,TUZLA,CAMİ,Balıkçılar Sk. No:20 F CAMİ/TUZLA,40.815924,29.316773
Hane Optik,Sağlık,Gözlükçü/Optik,ÜMRANİYE,CEMİL MERİÇ,Alemdağ Cad. No:297 C CEMİL MERİÇ/ÜMRANİYE,41.016722,29.138736
Sultangazi 30 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,SULTANGAZİ,SULTANÇİFTLİĞİ,163. Sk. No:4 A SULTANÇİFTLİĞİ/SULTANGAZİ,41.102955,28.857559
Eymen Optik,Sağlık,Gözlükçü/Optik,ÜSKÜDAR,BULGURLU,İzzettinbey Sk. No:4 A BULGURLU/ÜSKÜDAR,41.022561,29.080584
Ataşehir Kanuni Sultan Süleyman Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ATAŞEHİR,İÇERENKÖY,Postacılar Sk. No:20 B İÇERENKÖY/ATAŞEHİR,40.976056,29.111275
Prof. Dr. Aytül Çorbacıoğlu Pozitif Perinatoloji ve Kadın Sağlığı,Sağlık,Doktor/Muayenehane,ŞİŞLİ,MECİDİYEKÖY,Lati Lokum Sk. No:7 MECİDİYEKÖY/ŞİŞLİ,41.067671,28.994355
Kadıköy Koşuyolu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,KADIKÖY,KOŞUYOLU,Cevatpaşa Sk. No:6 KOŞUYOLU/KADIKÖY,41.011124,29.03979
Psk. Işıl Hazal Saraç,Sağlık,Psikologlar,ÇEKMEKÖY,MERKEZ,Çavuşbaşı Cad. No:42 MERKEZ/ÇEKMEKÖY,41.035094,29.174134
Sancaktepe 23 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,SANCAKTEPE,VEYSEL KARANİ,Seyyah Sk. No:2 VEYSEL KARANİ/SANCAKTEPE,40.961949,29.240947
Türk Böbrek Vakfı Memorial Hizmet Hastanesi,Sağlık,Özel Hastane,BAHÇELİEVLER,BAHÇELİEVLER,Güneş 1 Sk. No:4 BAHÇELİEVLER/BAHÇELİEVLER,41.000953,28.880155
Uzm. Dr. Yasemin Arslan,Sağlık,Doktor/Muayenehane,BEŞİKTAŞ,GAYRETTEPE,Yıldız Posta Cad. No:10 GAYRETTEPE/BEŞİKTAŞ,41.066228,29.004229
Diyetisyen Funda Nur Çelik,Sağlık,Diyetisyen,SULTANBEYLİ,ABDURRAHMANGAZİ,Balcı Sk. No:2 ABDURRAHMANGAZİ/SULTANBEYLİ,40.968545,29.260193
Maltepe 14 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,MALTEPE,CEVİZLİ,Şehit Sinan Çilingir Sk. No:1 A CEVİZLİ/MALTEPE,40.918497,29.146033
Arnavutköy 7 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ARNAVUTKÖY,İSLAMBEY,Behramşah Sk. No:16 -18 İSLAMBEY/ARNAVUTKÖY,41.193265,28.746815
İstanbul Elmas Diş,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,EYÜPSULTAN,GÖKTÜRK MERKEZ,Çeşmebaşı Cad. No:39 B GÖKTÜRK MERKEZ/EYÜPSULTAN,41.184148,28.884135
Uysal Optik,Sağlık,Gözlükçü/Optik,MALTEPE,ÇINAR,Rezzan Has Sk. No:5 ÇINAR/MALTEPE,40.945926,29.111875
Diş Hekimi Sacit Aykut,Sağlık,Diş Hekimi,BAKIRKÖY,CEVİZLİK,Mor Sümbül Sk. No:1 CEVİZLİK/BAKIRKÖY,40.978413,28.875791
Diş Hekimi Reşat Dikici,Sağlık,Diş Hekimi,BAKIRKÖY,CEVİZLİK,İstanbul Cad. No:24 CEVİZLİK/BAKIRKÖY,40.978439,28.87611
Diş Hekimi Berna Ayar,Sağlık,Diş Hekimi,KADIKÖY,GÖZTEPE,Bağdat Cad. No:181 GÖZTEPE/KADIKÖY,40.975192,29.053575
Diş Hekimi Recep Atalay,Sağlık,Diş Hekimi,KADIKÖY,CADDEBOSTAN,Bağdat Cad. No:241 CADDEBOSTAN/KADIKÖY,40.971092,29.061093
Doç. Dr. Gökhan Temiz,Sağlık,Doktor/Muayenehane,KADIKÖY,CADDEBOSTAN,Bağdat Cad. No:277 CADDEBOSTAN/KADIKÖY,40.968891,29.065262
Diş Hekimi Yeşim Karagöz,Sağlık,Diş Hekimi,KADIKÖY,FENERYOLU,Fahrettin Kerim Gökay Cad. No:66 FENERYOLU/KADIKÖY,40.986659,29.0464
Avrupa Sağlık Grubu,Sağlık,Tıp Merkezi Özel,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,Ayşıl Sk. No:54 -60E ARNAVUTKÖY MERKEZ/ARNAVUTKÖY,41.182028,28.744551
Diş Hekimi Dr. Mehmet Ali Güven,Sağlık,Diş Hekimi,BEŞİKTAŞ,NİSBETİYE,Aytar Cad. No:28 NİSBETİYE/BEŞİKTAŞ,41.075399,29.019605
İstanbul El Cerrahisi,Sağlık,Poliklinik Özel,ŞİŞLİ,TEŞVİKİYE,Sinoplu Şehit Cemal Sk. No:12 B TEŞVİKİYE/ŞİŞLİ,41.054217,28.996147
Dr. Şükran Kaffaf,Sağlık,Diş Hekimi,ZEYTİNBURNU,YENİDOĞAN,41. Sk. No:22 YENİDOĞAN/ZEYTİNBURNU,40.986842,28.904498
Doç. Dr. Harun Çöloğlu,Sağlık,Doktor/Muayenehane,ŞİŞLİ,HALASKARGAZİ,Vali Konağı Cad. No:67 HALASKARGAZİ/ŞİŞLİ,41.051025,28.990188
Çarşı Optik,Sağlık,Gözlükçü/Optik,KARTAL,ORHANTEPE,Saraylar Cad. No:70 ORHANTEPE/KARTAL,40.910855,29.16713
Diş Hekimi Uğur Altınay,Sağlık,Diş Hekimi,MALTEPE,FINDIKLI,Gazi Mustafa Kemal Cad. No:32 FINDIKLI/MALTEPE,40.971045,29.127061
Diş Hekimi M. Fatih Okan,Sağlık,Diş Hekimi,BAKIRKÖY,KARTALTEPE,İncirli Cad. No:70 KARTALTEPE/BAKIRKÖY,40.990114,28.871342
Psikiyatrist Dr. Gıyasettin Ekici,Sağlık,Psikologlar,BAKIRKÖY,KARTALTEPE,Yeşil Adalı Sk. No:2 KARTALTEPE/BAKIRKÖY,40.984705,28.872556
Mcs Psikoloji,Sağlık,Psikologlar,BEŞİKTAŞ,NİSBETİYE,Nisbetiye Cad. No:42 NİSBETİYE/BEŞİKTAŞ,41.075969,29.020013
Uzm. Dr. Selma Nihan Karakaya,Sağlık,Doktor/Muayenehane,KADIKÖY,KOŞUYOLU,Muhittin Üstündağ Cad. No:31 KOŞUYOLU/KADIKÖY,41.006866,29.037599
Diş Hekimi Mertcan Kamalı,Sağlık,Diş Hekimi,ÜSKÜDAR,ACIBADEM,Acıbadem Cad. No:123 ACIBADEM/ÜSKÜDAR,41.007,29.047411
Diş Hekimi Burhan Babayiğit,Sağlık,Diş Hekimi,BEYKOZ,ANADOLU HİSARI,Körfez Cad. No:26 ANADOLU HİSARI/BEYKOZ,41.0843,29.0677
A. Fevzi Yavaş Estetisyen,Sağlık,Doktor/Muayenehane,KADIKÖY,SUADİYE,Bağdat Cad. No:370 SUADİYE/KADIKÖY,40.96303,29.075095
Uzman İşitme Cihazları,Sağlık,İşitme Cihazı Satış ve Uygulama Merkezi,FATİH,KOCA MUSTAFAPAŞA,Etyemez Tekkesi Sk. No:11 A KOCA MUSTAFAPAŞA/FATİH,41.002964,28.936621
T.C. Sağlık Bakanlığı Şile Devlet Hastanesi,Sağlık,Devlet Hastanesi,ŞİLE,BALİBEY,Atatürk Cad. No:28 BALİBEY/ŞİLE,41.174616,29.616884
Allergo İlaç,Sağlık,Medikal,KADIKÖY,FENERYOLU,Fahrettin Kerim Gökay Cad. No:144 FENERYOLU/KADIKÖY,40.984106,29.057548
Diş Hekimi Gülcan Kabaca,Sağlık,Diş Hekimi,KADIKÖY,GÖZTEPE,Bağdat Cad. No:181 GÖZTEPE/KADIKÖY,40.975173,29.053491
Psikiyatri Dr. Osman Kaur,Sağlık,Psikologlar,KADIKÖY,19-May,Şemsettin Günaltay Cad. No:129 19 MAYIS/KADIKÖY,40.968554,29.085022
Mehmet Optik,Sağlık,Gözlükçü/Optik,ÜMRANİYE,ATATÜRK,Sütçü İmam Cad. No:47 B ATATÜRK/ÜMRANİYE,41.023993,29.088462
Dyt. Rotinda Çağdaş,Sağlık,Diyetisyen,KADIKÖY,ERENKÖY,Şemsettin Günaltay Cad. No:197 ERENKÖY/KADIKÖY,40.976655,29.078988
Cbt Marmara Psikoloji,Sağlık,Psikologlar,KADIKÖY,FENERBAHÇE,Bağdat Cad. No:126 FENERBAHÇE/KADIKÖY,40.978406,29.045639
Diş Hekimi Gül Öz Çalışkan,Sağlık,Diş Hekimi,GAZİOSMANPAŞA,HÜRRİYET,Eski Edirne Asfaltı Cad. No:164 HÜRRİYET/GAZİOSMANPAŞA,41.067656,28.896962
Lider Optik,Sağlık,Gözlükçü/Optik,BAKIRKÖY,YENİMAHALLE,Yanık Ses Sk. No:5 YENİMAHALLE/BAKIRKÖY,40.980649,28.87973
Nuri Deveci,Sağlık,Diş Hekimi,ŞİŞLİ,MERKEZ,Abide-i Hürriyet Cad. No:132 A MERKEZ/ŞİŞLİ,41.062796,28.987766
Uzm. Dr. Ayşegül Demirel,Sağlık,Doktor/Muayenehane,ÜMRANİYE,ATATÜRK,Alemdağ Cad. No:6 C ATATÜRK/ÜMRANİYE,41.024338,29.08446
Beykoz Merkez Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,BEYKOZ,MERKEZ,Fevzi Paşa Cad. No:32 MERKEZ/BEYKOZ,41.134732,29.091308
Diş Hekimi Yılmaz & Aslı Dayan,Sağlık,Diş Hekimi,BEYOĞLU,PİRİPAŞA,Kumbarahane Cad. No:52 PİRİPAŞA/BEYOĞLU,41.04504,28.945701
Özel Ataşehir Veteriner Kliniği,Sağlık,Veteriner,ATAŞEHİR,ATATÜRK,Meriç Cad. No:18 ATATÜRK/ATAŞEHİR,40.990074,29.129971
Sevimli Psikoteknik,Sağlık,Psikoteknik Değerlendirme Merkezi,TUZLA,ŞİFA,İnönü Cad. No:15 ŞİFA/TUZLA,40.825019,29.353496
Ay Yıldız Psikoteknik,Sağlık,Psikoteknik Değerlendirme Merkezi,KARTAL,ÇAVUŞOĞLU,Çavuşoğlu Cad. No:3 ÇAVUŞOĞLU/KARTAL,40.894572,29.198652
Ce Dent Ağız ve Diş Sağlığı Polikliniği,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,FATİH,AKSARAY,Koca Mustafapaşa Cad. No:51 AKSARAY/FATİH,41.006899,28.942021
İstanbul Veteriner Kliniği,Sağlık,Veteriner,KARTAL,KORDONBOYU,Marmara Cad. No:9 A KORDONBOYU/KARTAL,40.896159,29.170533
Esenler 16 No'lu Sağlık Merkezi,Sağlık,Aile Sağlığı Merkezi,ESENLER,MİMAR SİNAN,Selimiye Cad. No:25 MİMAR SİNAN/ESENLER,41.035502,28.886152
Ted Medikal,Sağlık,Medikal,KADIKÖY,HASANPAŞA,Fahrettin Kerim Gökay Cad. No:59 HASANPAŞA/KADIKÖY,40.992289,29.039165
Op. Dr. Gökhan Mersinlioğlu,Sağlık,Doktor/Muayenehane,KADIKÖY,FENERYOLU,Bağdat Cad. No:73 FENERYOLU/KADIKÖY,40.980771,29.042561
Diş Hekimi Mohsen Tajik,Sağlık,Diş Hekimi,KÜÇÜKÇEKMECE,SULTAN MURAT,Sultan Murat Cad. No:115 SULTAN MURAT/KÜÇÜKÇEKMECE,41.002321,28.78818
Performist Medical & Exercise & Equipments,Sağlık,Medikal,ATAŞEHİR,YENİ ÇAMLICA,Dursunbey Cad. No:13 YENİ ÇAMLICA/ATAŞEHİR,40.989404,29.161501
Güngören Ağız ve Diş Sağlığı Merkezi,Sağlık,Ağız Diş Sağlığı Merkezi,GÜNGÖREN,MERKEZ,Ünlü Sk. No:6 A MERKEZ/GÜNGÖREN,41.021751,28.870981
Diş Hekimi M. Fatih Kaya,Sağlık,Diş Hekimi,FATİH,İSKENDERPAŞA,Macar Kardeşler Cad. No:49 İSKENDERPAŞA/FATİH,41.016445,28.950842
Ahmet Optik,Sağlık,Gözlükçü/Optik,PENDİK,FEVZİ ÇAKMAK,Temel Reis Sk. No:1 FEVZİ ÇAKMAK/PENDİK,40.877626,29.264855
Dr. Dt. Cemile Uysal,Sağlık,Diş Hekimi,KADIKÖY,FENERYOLU,Camtepe Sk. No:2 FENERYOLU/KADIKÖY,40.984328,29.05489
Ataşehir Örnek Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ATAŞEHİR,ÖRNEK,Neyzen Dede Sk. No:9 ÖRNEK/ATAŞEHİR,40.993746,29.075921
Alsancak Optik,Sağlık,Gözlükçü/Optik,BAKIRKÖY,OSMANİYE,Evlek Sk. No:2 B OSMANİYE/BAKIRKÖY,40.991725,28.88212
Diş Hekimi Meral Gayhan,Sağlık,Diş Hekimi,GAZİOSMANPAŞA,BARBAROS HAYRETTİN PAŞA,1004. Sk. No:2 BARBAROS HAYRETTİN PAŞA/GAZİOSMANPAŞA,41.071655,28.894474
Dr. Gamze Etemoğlu,Sağlık,Diş Hekimi,BAHÇELİEVLER,SİYAVUŞPAŞA,Kızılcık Sk. No:20 SİYAVUŞPAŞA/BAHÇELİEVLER,41.003377,28.859167
Küçükçekmece Yeşilova Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,KÜÇÜKÇEKMECE,YEŞİLOVA,Sinema Sk. No:9 A YEŞİLOVA/KÜÇÜKÇEKMECE,40.987686,28.787321
Üsküdar 10 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ÜSKÜDAR,KÜÇÜKÇAMLICA,Önder Sk. No:6 KÜÇÜKÇAMLICA/ÜSKÜDAR,41.007552,29.065732
K9 Vip Veteriner Kliniği,Sağlık,Veteriner,BÜYÜKÇEKMECE,GÜZELCE,Vatan 1 Sk. No:14 A GÜZELCE/BÜYÜKÇEKMECE,40.994437,28.528095
Jasmin Veteriner,Sağlık,Veteriner,PENDİK,KURTKÖY,Seyit Onbaşı Sk. No:29 B KURTKÖY/PENDİK,40.916796,29.302511
Üsküdar 24 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ÜSKÜDAR,BULGURLU,Özilhan Sk. No:4 BULGURLU/ÜSKÜDAR,41.016197,29.079244
Msm Terapi Merkezi,Sağlık,Sağlık Diğer,KADIKÖY,KOŞUYOLU,Katip Salih Sk. No:44 A KOŞUYOLU/KADIKÖY,41.010238,29.035049
Orjin Ecza Deposu,Sağlık,Ecza Deposu,ÜMRANİYE,HUZUR,Karadeniz Cad. No:34 A HUZUR/ÜMRANİYE,41.026201,29.159142
Fitbes,Sağlık,Sağlık Diğer,BAĞCILAR,HÜRRİYET,Atatürk Cad. No:49 A HÜRRİYET/BAĞCILAR,41.026784,28.829327
Cebeci Dental,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,MALTEPE,BAĞLARBAŞI,Beşevler Sk. No:7 BAĞLARBAŞI/MALTEPE,40.925218,29.132328
Psk. Elif Yeşim Çavuşoğlu,Sağlık,Psikologlar,BAŞAKŞEHİR,ŞAHİNTEPE,Çakır Sk. No:6 ŞAHİNTEPE/BAŞAKŞEHİR,41.067967,28.732542
Mavi Optik,Sağlık,Gözlükçü/Optik,BAĞCILAR,KİRAZLI,Hoca Ahmet Yesevi Cad. No:144 C KİRAZLI/BAĞCILAR,41.030606,28.839039
Elit İşitme Cihazları,Sağlık,İşitme Cihazı Satış ve Uygulama Merkezi,BAĞCILAR,KİRAZLI,Hoca Ahmet Yesevi Cad. No:108 A KİRAZLI/BAĞCILAR,41.031557,28.843789
Derya Veteriner Kliniği,Sağlık,Veteriner,KADIKÖY,GÖZTEPE,Tuğrul Sk. No:6 B GÖZTEPE/KADIKÖY,40.975701,29.0544
Tanem Optik,Sağlık,Gözlükçü/Optik,BAHÇELİEVLER,KOCASİNAN MERKEZ,Mahmutbey Cad. No:152 C KOCASİNAN MERKEZ/BAHÇELİEVLER,41.005593,28.841473
Gülen Optik,Sağlık,Gözlükçü/Optik,SULTANBEYLİ,ABDURRAHMANGAZİ,Fatih Bulvarı No:77 F ABDURRAHMANGAZİ/SULTANBEYLİ,40.969376,29.257869
Vetus Veteriner,Sağlık,Veteriner,KADIKÖY,GÖZTEPE,Rıdvanpaşa Sk. No:15 C GÖZTEPE/KADIKÖY,40.979215,29.069316
Kibar Dental,Sağlık,Ecza Deposu,FATİH,MOLLA GÜRANİ,Karakoyunlu Sk. No:14 A MOLLA GÜRANİ/FATİH,41.013881,28.938917
Yıldız Optik,Sağlık,Gözlükçü/Optik,FATİH,HOBYAR,Hamidiye Cad. No:20 HOBYAR/FATİH,41.016032,28.973372
Anemon Veteriner,Sağlık,Veteriner,BEŞİKTAŞ,AKAT,Zeytinoğlu Cad. No:23 C AKAT/BEŞİKTAŞ,41.080045,29.027058
Adım Optik,Sağlık,Gözlükçü/Optik,KARTAL,CEVİZLİ,Anafartalar Cad. No:25 A CEVİZLİ/KARTAL,40.912763,29.175485
Diş Hekimi Hasan Türüdü,Sağlık,Diş Hekimi,KAĞITHANE,ORTABAYIR,Keskinler Sk. No:2 ORTABAYIR/KAĞITHANE,41.078543,29.00247
Dr. Emre Tambay,Sağlık,Doktor/Muayenehane,KADIKÖY,SUADİYE,Bağdat Cad. No:397 /1 SUADİYE/KADIKÖY,40.961595,29.07851
Kızıltoprak Görüntüleme Merkezi,Sağlık,Görüntüleme Merkezi Özel,KADIKÖY,FENERBAHÇE,Bağdat Cad. No:74 FENERBAHÇE/KADIKÖY,40.981832,29.040916
Diş Hekimi Ufuk Kanta,Sağlık,Diş Hekimi,AVCILAR,MERKEZ,Denizköşkler Cad. No:7 MERKEZ/AVCILAR,40.977908,28.722798
Neva Fizyoterapi,Sağlık,Doktor/Muayenehane,ESENYURT,PİRİ REİS,1993. Sk. No:27 C PİRİ REİS/ESENYURT,41.019387,28.646786
Diş Hekimi Mehmet Ali Araz,Sağlık,Diş Hekimi,SANCAKTEPE,OSMANGAZİ,Birikim Sk. No:1 OSMANGAZİ/SANCAKTEPE,40.985378,29.230898
Hülya Diş Protez,Sağlık,Protez Ortez Yapım ve Uygulama Merkezi Özel,FATİH,TOPKAPI,Turgut Özal Millet Cad. No:178 /1A TOPKAPI/FATİH,41.017791,28.929229
Adil Gözlük,Sağlık,Gözlükçü/Optik,GAZİOSMANPAŞA,HÜRRİYET,Cengiz Topel Cad. No:87 -89B HÜRRİYET/GAZİOSMANPAŞA,41.067651,28.90462
Pusula Psikoloji,Sağlık,Psikologlar,EYÜPSULTAN,ESENTEPE,Gaziosmanpaşa Cad. No:33 ESENTEPE/EYÜPSULTAN,41.074588,28.942367
Pusula Beslenme ve Diyet Danışmanlığı,Sağlık,Diyetisyen,EYÜPSULTAN,ESENTEPE,Gaziosmanpaşa Cad. No:33 ESENTEPE/EYÜPSULTAN,41.074656,28.942298
Nişantaşı Patoloji Grubu,Sağlık,Laboratuvar Özel,ŞİŞLİ,TEŞVİKİYE,Poyracık Sk. No:12 B TEŞVİKİYE/ŞİŞLİ,41.051241,28.99662
Özel Amerikan Cerrahi Tıp Merkezi,Sağlık,Tıp Merkezi Özel,ŞİŞLİ,19-May,19 Mayıs Cad. No:8 B 19 MAYIS/ŞİŞLİ,41.058776,28.99264
Dişçim İstanbul,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,EYÜPSULTAN,GÖKTÜRK MERKEZ,Göktürk Cad. No:44 A GÖKTÜRK MERKEZ/EYÜPSULTAN,41.181737,28.88942
Diş Hekimi Nabi Danacı,Sağlık,Diş Hekimi,ŞİŞLİ,MECİDİYEKÖY,Yaşarbey Sk. No:8 MECİDİYEKÖY/ŞİŞLİ,41.068165,28.998359
Kanyon Optik,Sağlık,Gözlükçü/Optik,BAHÇELİEVLER,BAHÇELİEVLER,İzzettin Çalışlar Cad. No:37 A BAHÇELİEVLER/BAHÇELİEVLER,41.000916,28.870725
Akademi 34 Ağız ve Diş Sağlığı Merkezi,Sağlık,Özel Ağız ve Diş Sağlığı Merkezleri,ÜSKÜDAR,ACIBADEM,Acıbadem Cad. No:195 D ACIBADEM/ÜSKÜDAR,41.014635,29.055525
Dr. Öğr. Üyesi Muzaffer Uçarer,Sağlık,Doktor/Muayenehane,BAŞAKŞEHİR,BAHÇEŞEHİR 1. KISIM,Doğa Parkı Cad. No:13 -15LI BAHÇEŞEHİR 1. KISIM/BAŞAKŞEHİR,41.065465,28.695554
Ataşehir Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ATAŞEHİR,İÇERENKÖY,Yücel Sk. No:3 A İÇERENKÖY/ATAŞEHİR,40.973518,29.120412
Özel Vera Tıp Merkezi,Sağlık,Tıp Merkezi Özel,KÜÇÜKÇEKMECE,TEVFİKBEY,Vahit Efendi Sk. No:2 TEVFİKBEY/KÜÇÜKÇEKMECE,41.006048,28.796744
Uzm. Dr. Şaban Bayyozgat,Sağlık,Doktor/Muayenehane,ÇEKMEKÖY,MEHMET AKİF,Erge Sk. No:1 MEHMET AKİF/ÇEKMEKÖY,41.016372,29.184361
Özel Sevgi Tıp Merkezi,Sağlık,Tıp Merkezi Özel,ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,Nene Hatun Cad. No:7 ARNAVUTKÖY MERKEZ/ARNAVUTKÖY,41.181787,28.740872
Nezih Sağlık Kabini,Sağlık,Sağlık Kabini Özel,ESENYURT,GÜZELYURT,Ertuğrul Gazi Cad. No:58 A GÜZELYURT/ESENYURT,41.0089,28.667168
Levent Optik,Sağlık,Gözlükçü/Optik,KAĞITHANE,ORTABAYIR,Bacadibi Sk. No:1 /1A ORTABAYIR/KAĞITHANE,41.08,29.006893
Vetart Veteriner Kliniği,Sağlık,Veteriner,ÜSKÜDAR,İCADİYE,Cumhuriyet Cad. No:57 A İCADİYE/ÜSKÜDAR,41.028016,29.029475
Es Optik,Sağlık,Gözlükçü/Optik,SULTANGAZİ,UĞUR MUMCU,Muhsin Yazıcıoğlu Cad. No:21 A UĞUR MUMCU/SULTANGAZİ,41.103172,28.864243
Rota Optik,Sağlık,Gözlükçü/Optik,BEYKOZ,KAVACIK,Fatih Sultan Mehmet Cad. No:30 A KAVACIK/BEYKOZ,41.093621,29.09091
Büyük Optik,Sağlık,Gözlükçü/Optik,ÜMRANİYE,ATATÜRK,Sütçü İmam Cad. No:3 B ATATÜRK/ÜMRANİYE,41.02422,29.084781
Aslan Optik,Sağlık,Gözlükçü/Optik,KÜÇÜKÇEKMECE,İSTASYON,1. Huzur Sk. No:25 B İSTASYON/KÜÇÜKÇEKMECE,41.03358,28.773355
Şam Optik,Sağlık,Gözlükçü/Optik,FATİH,AKŞEMSETTİN,Sarıgüzel Cad. No:58 B AKŞEMSETTİN/FATİH,41.018745,28.946328
İkbal Optik,Sağlık,Gözlükçü/Optik,ÜMRANİYE,NAMIK KEMAL,Sütçü İmam Cad. No:52 A NAMIK KEMAL/ÜMRANİYE,41.023828,29.088675
Kayatur Optik,Sağlık,Gözlükçü/Optik,ÜMRANİYE,İSTİKLAL,Kavaklıdere Cad. No:77 B İSTİKLAL/ÜMRANİYE,41.017185,29.100856
Esenyurt 44 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,ESENYURT,MEHTERÇEŞME,1869. Sk. No:2 A MEHTERÇEŞME/ESENYURT,41.022377,28.664258
Zennur Optik,Sağlık,Gözlükçü/Optik,SULTANGAZİ,CEBECİ,Eski Edirne Asfaltı Cad. No:678 A CEBECİ/SULTANGAZİ,41.106209,28.860729
Pelin Optik,Sağlık,Gözlükçü/Optik,GÜNGÖREN,MAREŞAL ÇAKMAK,Posta Cad. No:9 A MAREŞAL ÇAKMAK/GÜNGÖREN,41.014243,28.864231
Bizim Optik,Sağlık,Gözlükçü/Optik,ATAŞEHİR,AŞIKVEYSEL,3001. Cad. No:100 B AŞIKVEYSEL/ATAŞEHİR,41.003864,29.093182
Diker Optik,Sağlık,Gözlükçü/Optik,KADIKÖY,MERDİVENKÖY,Ressam Salih Erimez Cad. No:23 A MERDİVENKÖY/KADIKÖY,40.98526,29.066938
İnci Optik,Sağlık,Gözlükçü/Optik,KARTAL,GÜMÜŞPINAR,Atatürk Cad. No:79 C GÜMÜŞPINAR/KARTAL,40.915949,29.200743
Kartal Optik,Sağlık,Gözlükçü/Optik,KARTAL,YUKARI,Doğan Sk. No:1 YUKARI/KARTAL,40.888493,29.184069
Koçak Optik,Sağlık,Gözlükçü/Optik,BAĞCILAR,BARBAROS,167. Sk. No:14 BARBAROS/BAĞCILAR,41.030196,28.838901
Murat Optik,Sağlık,Gözlükçü/Optik,ÜSKÜDAR,MİMAR SİNAN,Selmanı Pak Cad. No:68 A MİMAR SİNAN/ÜSKÜDAR,41.025884,29.021626
Corners Optik Lens Merkezi,Sağlık,Gözlükçü/Optik,BEŞİKTAŞ,KONAKLAR,Akçam Cad. No:5 C KONAKLAR/BEŞİKTAŞ,41.086726,29.008204
Öz Optik,Sağlık,Gözlükçü/Optik,KAĞITHANE,SULTAN SELİM,Şahinler Cad. No:6 B SULTAN SELİM/KAĞITHANE,41.092255,29.001632
Kozy Optik,Sağlık,Gözlükçü/Optik,KADIKÖY,KOZYATAĞI,Bayar Cad. No:93 B KOZYATAĞI/KADIKÖY,40.971518,29.098167
Şilem Optik,Sağlık,Gözlükçü/Optik,ŞİLE,ÇAVUŞ,Cumhuriyet Cad. No:80 K ÇAVUŞ/ŞİLE,41.172971,29.609311
Öz Zirve Optik 2,Sağlık,Gözlükçü/Optik,SULTANGAZİ,CEBECİ,Atatürk Bulvarı No:75 A CEBECİ/SULTANGAZİ,41.107208,28.870794
Zeytinburnu Optik,Sağlık,Gözlükçü/Optik,ZEYTİNBURNU,BEŞTELSİZ,Seyitnizam Cad. No:126 A BEŞTELSİZ/ZEYTİNBURNU,41.003733,28.903678
